place_name,latitude,longitude
"Jakarta, Indonesia",-6.2,106.816666
"Pamekasan, Pamekasan Regency, East Jawa, Indonesia",-7.161367,113.482498
"Banda Aceh, Banda Aceh City, Aceh, Indonesia",5.54829,95.323753
"Ambon, Ambon Island, Maluku, Indonesia",-3.654703,128.190643
"Palopo, Wara, South Sulawesi, Indonesia",-2.994494,120.195465
"Soreang, Bandung, West Java, Indonesia",-7.025253,107.51976
"Dumai, Dumai Province, Riau, Indonesia",1.694394,101.445007
"Pematang Siantar City, North Sumatra, Indonesia",2.970042,99.068169
"Banjarsari, Surakarta City, Central Java, Indonesia",-7.550676,110.828316
"Lhoksukon, Aceh Utara, Aceh, Indonesia",5.051701,97.318123
"Bireuen, Bireuen Regency, Aceh, Indonesia",5.20139,96.702644
"Trenggalek, Trenggalek Regency, East Java, Indonesia",-8.08641,111.713127
"Ponorogo, Ponorogo Regency, Jawa Timur, Indonesia",-7.866688,111.466614
"Stabat, Langkat Regency, North Sumatra, Indonesia",3.750531,98.470528
"Pangkal Pinang, Bangka Belitung Islands, Indonesia",-2.133333,106.116669
"Makassar City, Indonesia",-5.135399,119.42379
"Banjar Baru City, Banjarbaru City, South Kalimantan, Indonesia",-3.457242,114.810318
"Pamulang, South Tangerang City, Banten, Republic of Indonesia",-6.347891,106.741158
"Jepara City, Jepara Regency, Central Java, Republic of Indonesia",-6.574958,110.670525
"Manado City, North Sulawesi, Republic of Indonesia",1.47483,124.842079
"Pontianak City, West Kalimantan, Republic of Indonesia",0.033333,109.333336
"Tegal City, Central Java, Republic of Indonesia",-6.879704,109.125595
"Cibinong, Bogor, West Java, Indonesia",-6.497641,106.828224
"Kendari City, South East Sulawesi, Indonesia",-3.972201,122.5149
"Tangerang, Indonesia",-6.178306,106.631889
"Semarang, Indonesia",-6.966667,110.416664
"Amuntai, Amuntai Tengah, Hulu Sungai Utara, Kalimantan Selatan, Indonesia",-2.423779,115.250832
"Batam, Riau Islands, Indonesia",1.045626,104.030457
"Banjarmasin, South Kalimantan, Indonesia",-3.316694,114.590111
"Jambi City, Jambi, Indonesia",-1.609972,103.607254
"Serang, Serang City, Banten, Indonesia",-6.12,106.150276
"Sampit, Mentawa Baru Hulu, East Kotawaringin, Central Kalimantan, Indonesia",-2.539465,112.958687
"Kupang City, Kupang, East Nusa Tenggara, Indonesia",-10.178757,123.597603
"Banjar, Banjar City, West Java, Indonesia",-7.374585,108.558189
"Samarinda, East Kalimantan, Indonesia",-0.502106,117.153709
"Subang, Subang Province, West Java, Indonesia",-6.571589,107.758736
"Jember, Jember, East Java, Indonesia",-8.184486,113.668076
"Rancasari, Bandung, West Java, Indonesia",-6.953946,107.677765
"Denpasar, Bali, Indonesia",-8.65,115.216667
"Cileunyi, Bandung, West Java, Indonesia",-6.939008,107.740753
"Bogor, West Java, Indonesia",-6.595038,106.816635
"Yogyakarta, Special Region of Yogyakarta, Indonesia",-7.797068,110.370529
"Kuta, Badung, Bali, Indonesia",-8.739184,115.171127
"Bontang, Indonesia",0.133333,117.5
"Cirebon, West Java, Indonesia",-6.737246,108.550659
"Palembang, Indonesia",-2.990934,104.756554
"Medan, North Sumatra, Indonesia",3.597031,98.678513
"Kediri, East Java, Indonesia",-7.82284,112.011864
"Bekasi, West Java, Indonesia",-6.241586,106.992416
"Surabaya, East Java, Indonesia",-7.250445,112.768845
"Kanigoro, Blitar, East Java, Indonesia",-8.121262,112.205429
"Balaraja, Tangerang, Banten, Indonesia",-6.199264,106.469193
"Blitar, East Java, Indonesia",-8.1,112.150002
"Batu, East Java, Indonesia",-7.8671,112.523903
"Purwokerto, Central Java, Indonesia",-7.431391,109.247833
"Gorontalo, Indonesia",0.556174,123.058548
"Pekanbaru, Indonesia",0.533505,101.447403
"Yogyakarta City, Indonesia",-7.797068,110.370529
"Malang, East Java, Indonesia",-7.983908,112.621391
"Pariaman, West Sumatra, Indonesia",-0.626439,100.117958
"Bandung, West Java, Indonesia",-6.914864,107.608238
"North Jakarta, Indonesia",-6.14041,106.890663
"Probolinggo, East Java, Indonesia",-7.756928,113.211502
"Bandar Lampung, Lampung, Indonesia",-5.45,105.26667
"Depok City, West Java, Indonesia",-6.402905,106.778419
"Bandung, West Java, Indonesia",-6.905977,107.613144
"Tasikmalaya, West Java, Indonesia",-7.319563,108.202972
"Sibolga, North Sumatra, Indonesia",1.749987,98.776703
"Bandung, West Java, Indonesia",-6.914744,107.60981
"Sukabumi, West Java, Indonesia",-6.9237,106.928726
"Batam City, Indonesia",1.054507,104.00412
"Binjai, North Sumatra, Indonesia",3.598401,98.489166
"Pekanbaru, Riau, Indonesia",0.51044,101.438309
"Martapura, South Kalimantan, Indonesia",-3.409927,114.847298
"Balikpapan, Indonesia",-1.26916,116.825264
"Pekalongan, Indonesia",-6.888701,109.668289
"Balikpapan, Indonesia",-1.265386,116.8312
