kecamatan,x_image,y_image
Mlati,318,539
Sleman,351,436
Ngaglik,489,511
Tempel,310,345
Sayegan,272,511
Godean,226,615
Ngemplak,589,454
Cangkringan,618,362
Pakem,531,381
Kaliurang,543,226
Manisrenggo,698,451
Kemalang,764,378
Karangnongko,842,396
Kebonarum,865,454
Klaten,951,471
Karanganom,1007,333
Jatinom,947,304
Polanharjo,1089,252
Tulung,998,203
Banyudono,1132,101
Teras,1089,74
Mojosongo,1017,77
Boyolali,946,63
Musuk,852,75
Cepogo,754,20
Sawangan,311,74
Muntilan,212,177
Srumbung,320,219
Salam,284,284
Turi,429,344
Kalibawang,165,400
Kalasan,636,623
Moyudan,141,631
